epoch,loss
1,0.5410968950566124
2,0.14732159498859854
3,0.08449469638221405
4,0.0669539354960708
5,0.05713329705245355
6,0.04845391717903754
7,0.043494194636450094
8,0.03919285935733248
9,0.03546704735387774
10,0.03777167803662665
11,0.034864499507581484
12,0.0322757288813591
13,0.030097354313029963
14,0.02936914239955299
15,0.02740299783866195
16,0.026665926965720513
17,0.025620839120272326
18,0.024968888610601425
19,0.02534826787407784
20,0.021999326644136626
21,0.021503030897720772
22,0.020910462884999374
23,0.021787566379370057
24,0.02083126028232715
25,0.021937712917433065
26,0.020171092097264004
27,0.016819511485450408
28,0.021335048628423142
29,0.017505116240285775
30,0.016908309340257856
31,0.01836004513589775
32,0.018622616305947304
33,0.01707594291142681
34,0.015132039566250408
35,0.015935988001087132
36,0.016957641907912845
37,0.016823744894388842
38,0.017672539332552868
39,0.016014044255237368
40,0.0149271815248272
41,0.015144799096400248
42,0.015235075905152103
43,0.01472493085791083
44,0.014365358606857411
45,0.013853906352511224
46,0.012343859080882633
47,0.01305547755156808
48,0.014741352170377094
49,0.013545170042882948
50,0.013544656199348323
51,0.012698920827139826
52,0.014339991941061966
53,0.013590758995098226
54,0.012783603181185968
55,0.014382716323084691
56,0.012260330197236994
57,0.014045563368948506
58,0.012315890436772914
59,0.013528707779615241
60,0.010803953196634264
61,0.011916079914526027
62,0.01504568861085264
63,0.012357423266888979
64,0.011892145574914621
65,0.011780425652806811
66,0.01276011871831382
67,0.014224517364602755
68,0.01245957671198994
69,0.0106781867250581
70,0.012453657492776127
71,0.012193702421534587
72,0.010182837599559742
73,0.014120401636533001
74,0.01099772984161973
75,0.012952605563708964
76,0.012820078950265752
77,0.01218041597509428
78,0.012024947989951162
79,0.010298845015794915
80,0.012776153942789225
81,0.0118490327423548
82,0.011973543886971824
83,0.012044324608081403
84,0.011978024993475308
85,0.011095361249959645
86,0.012762553154436104
87,0.011307134991511703
88,0.01245792189558201
89,0.012034510289702345
90,0.012135959778200178
91,0.01165833483066629
92,0.011618121088865925
93,0.012651232249267837
94,0.010524887577904499
95,0.010831014376462382
96,0.012624691295273164
97,0.009649832979502046
98,0.010635314892758341
99,0.010917964822831838
100,0.0103520886041224
101,0.011588852236266522
102,0.010651006835841519
103,0.010766301797155072
104,0.012323975549353397
105,0.010645609403796056
106,0.010379964033799136
107,0.011397292515646447
108,0.009295953882803373
109,0.009879847563912763
110,0.011864274466300713
111,0.01098175482440959
112,0.012083328760448186
113,0.012567158240605803
114,0.012822150814292185
115,0.010362630312824073
116,0.011842089171028313
117,0.01137017524417709
118,0.009736402254716
119,0.011778827304677927
120,0.011237970306811965
121,0.009847316034959959
122,0.010822882964823614
123,0.010246971149600166
124,0.010338235742357723
125,0.008747254450367215
126,0.0110023311640629
127,0.01033013767343672
128,0.009422445382155916
129,0.010310369892977178
130,0.01059685435200877
131,0.010261268313864575
132,0.010795056532301447
133,0.01036585755783188
134,0.009961852886001854
135,0.008513932616230757
136,0.01065271342967582
137,0.008472745519076638
138,0.008586428621236016
139,0.011412191807347186
140,0.01035594760768992
141,0.009359786512932795
142,0.008772050044225418
143,0.00938223533140605
144,0.012578230269034119
145,0.01005194362198167
146,0.011244631660006502
147,0.009018414379919277
148,0.012050828869071077
149,0.009640953832251184
150,0.009479653788730502
151,0.008534659665790112
152,0.009288595551077057
153,0.009423845687278491
154,0.011236320140168947
155,0.009255458737778314
156,0.009582640267634654
157,0.009652458747629733
158,0.010905396097394474
159,0.009016831583507797
160,0.007888894185752553
161,0.009773090372190756
162,0.009604403927155277
163,0.010113468338899752
164,0.010610480991411297
165,0.008952621480121332
166,0.008244932814062956
167,0.011100297293844907
168,0.010779007680385429
169,0.008757094071958871
170,0.009302357978680554
171,0.010080912650343688
172,0.01111164060421288
173,0.009411616319352212
174,0.009087433627642253
175,0.009391749195535393
176,0.009383636225453195
177,0.011385233833125848
178,0.011212301598040058
179,0.010225820670123486
180,0.009399012696710141
181,0.00844227465773549
182,0.010466362425016569
183,0.009879250099937268
184,0.007920831414487432
185,0.008556642062852489
186,0.007994630599997062
187,0.009319389649831197
188,0.00883203646962476
189,0.009112344342557824
190,0.008319560274043503
191,0.009529391974758576
192,0.008715685573406518
193,0.009413939756889115
194,0.009563438840867841
195,0.009386533672702225
196,0.009332748266923077
197,0.010758838095866582
198,0.010232634527389617
199,0.010070853894028594
200,0.009694358292857514
201,0.010002829778172514
202,0.00946900250581915
203,0.008086305837530424
204,0.010078853879616979
205,0.009583372513160986
206,0.007365022087469697
207,0.009609025704455288
208,0.009749539285514723
209,0.009540655143449412
210,0.0089340088683564
211,0.007968811646980397
212,0.010405978824778953
213,0.008841625051846838
214,0.009980961159967324
215,0.009258074781802647
216,0.008557284956195337
217,0.008418605909408891
218,0.01008319465087398
219,0.009229104510535869
220,0.009199692648561561
221,0.008188177002867794
222,0.008251302135998713
223,0.009214138557367465
224,0.009271073812509285
225,0.008309614481678343
226,0.008731194758130348
227,0.00791218557723743
228,0.010317684370366967
229,0.007642398054218467
230,0.008936580790973762
231,0.00946620197090156
232,0.008093114014413646
233,0.00825417454710559
234,0.008633195905370967
235,0.008361477712991046
236,0.009713702581768088
237,0.008953601436908631
238,0.008491710163926816
239,0.008075138012988163
240,0.009201972916557947
241,0.0092271221733159
242,0.009070917580495863
243,0.009072573184419204
244,0.009608114268356824
245,0.009509166812195498
246,0.008509171435006839
247,0.009549889877876815
248,0.007334431051276624
249,0.0089190788772505
250,0.008090996532700956
251,0.010012962838278754
252,0.009998422047561583
253,0.008141181226271917
254,0.008013967116472913
255,0.009061476188328336
256,0.008850121076273568
257,0.00853513166144052
258,0.0076014315093155295
259,0.011648189194281311
260,0.010090849444489269
261,0.008661603986504762
262,0.00895079828607028
263,0.010885427144410856
264,0.009572138461996527
265,0.007623441808391362
266,0.011377342223354122
267,0.00998440510182477
268,0.00933629516101278
269,0.00932715107303332
270,0.008021686616463257
271,0.008166879983892775
272,0.007947690949282226
273,0.009241457603981389
274,0.008603624335271032
275,0.008639257456011632
276,0.00842919819714392
277,0.008871309904326849
278,0.009763813272858149
279,0.008042086754679023
280,0.00818706674309557
281,0.009729416849201216
282,0.008906405569766374
283,0.007774022277718519
284,0.008984609952141695
285,0.010089210850898834
286,0.009087958879878415
287,0.00794951496508849
288,0.00870571326573982
289,0.009119169053840725
290,0.009634087985271917
291,0.008719760965665473
292,0.007261861478635932
293,0.007905483492376172
294,0.008060039678478943
295,0.008202540660824846
296,0.008776677703923163
297,0.009645205408827785
298,0.00874859289101818
299,0.009368940325015607
300,0.0087995855274665
301,0.007511495064724894
302,0.009760390491197434
303,0.00894658693441135
304,0.008119066232157982
305,0.010927060345078217
306,0.00898094305439907
307,0.009789989110739791
308,0.008608540568007705
309,0.009123940486460924
310,0.008651758674258256
311,0.01024595575461931
312,0.009308116428334923
313,0.008280533201554242
314,0.010223801466910279
315,0.008805280154132667
316,0.007675476372241974
317,0.008373484830372036
318,0.008654599297134316
319,0.007465631071039859
320,0.007402504034176031
321,0.008757164304637733
322,0.008127705748740803
323,0.007722841572317788
324,0.008807209840811351
325,0.009883576161775957
326,0.007668175755123443
327,0.008788464631994857
328,0.007708127493970096
329,0.008207549375262769
330,0.00906595345997416
331,0.007755361254299607
332,0.009561478543807478
333,0.00852408223812852
334,0.008366445319124442
335,0.008606141248224852
336,0.007717728279257084
337,0.006774344906101332
338,0.007752964766148259
339,0.009112497380770305
340,0.009140789782737984
341,0.007134309257654583
342,0.008510765872950502
343,0.008454742026515305
344,0.009438161385546932
345,0.008311700342935236
346,0.008103183395338847
347,0.008134731413413058
348,0.00814303440069232
349,0.008922790204558302
350,0.009001741589813986
351,0.007262826582197757
352,0.008115481030579437
353,0.00825411218273289
354,0.007690339164315339
355,0.008471028653302175
356,0.009063369238420445
357,0.008246234748238587
358,0.0074400795034735515
359,0.008958196157918256
360,0.008910616736530381
361,0.009294794981970507
362,0.007262582154533661
363,0.00921471742913127
364,0.008766502696637283
365,0.010455029550939798
366,0.007443844320197754
367,0.00873171747662127
368,0.00794423310606576
369,0.007321800399736008
370,0.008253416436833931
371,0.008593893671572646
372,0.007758759427815676
373,0.008334224434185992
374,0.009144169025068335
375,0.008228062391828965
376,0.008048739585587206
377,0.008441993665388402
378,0.008123013519627206
379,0.006455043652642737
380,0.007646289777339381
381,0.008229602628168376
382,0.007118138649007853
383,0.007671076544177006
384,0.008350245353272733
385,0.010716551771003972
386,0.008578596335342702
387,0.009992202168659252
388,0.008942083743236521
389,0.008673865471363944
390,0.009255762205130476
391,0.007424263242522583
392,0.00923446102944367
393,0.008248997013331117
394,0.008246845024747445
395,0.008325174218043685
396,0.007824256838134983
397,0.009678175604409155
398,0.008407804190509897
399,0.008876553421620937
400,0.008086841984871118
